show_id;type;title;country;date_added;Description
s47;Movie;1 Chance 2 Dance;United States;July 1, 2017;Dramas, Romantic Movies, Sports Movies After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.
s48;Movie;1 Mile to You;United States;July 7, 2017;Dramas, Romantic Movies, Sports Movies After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.
s49;Movie;10 Days in Sun City;South Africa, Nigeria;October 18, 2019;Comedies, International Movies, Romantic Movies After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.
s50;Movie;10 jours en or;France;July 1, 2017;Comedies, Dramas, International Movies When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.
s51;Movie;10,000 B.C.;United States, South Africa;June 1, 2019;Action & Adventure Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
s52;TV Show;100 Days My Prince;South Korea;December 7, 2020;International TV Shows, Romantic TV Shows, TV Dramas Upon losing his memory, a crown prince encounters a commonerâ€™s life and experiences unforgettable love as the husband to Joseonâ€™s oldest bachelorette.
s53;Movie;100 Days Of Solitude;Spain;July 6, 2018;Documentaries, International Movies Spanish photographer JosÃ© DÃ­az spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.
s54;TV Show;100 Humans;United States;March 13, 2020;Docuseries, Science & Nature TV One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.
s55;Movie;100 Meters;Portugal, Spain;March 10, 2017;Dramas, International Movies, Sports Movies A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.
s56;Movie;100 Things to do Before High School;United States;November 2, 2019;Movies Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.
s57;Movie;100 Years: One Woman's Fight for Justice;United States;March 20, 2018;Documentaries This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.
s58;Movie;100% Halal;Indonesia;January 7, 2021;Dramas, International Movies After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.
s59;TV Show;100% Hotter;United Kingdom;November 1, 2019;British TV Shows, International TV Shows, Reality TV A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.
s60;Movie;1000 Rupee Note;India;December 1, 2016;Dramas, International Movies After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.
s61;Movie;12 ROUND GUN;United States;March 14, 2019;Dramas, Independent Movies, Sports Movies Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.
s62;TV Show;12 Years Promise;South Korea;May 22, 2017;International TV Shows, Korean TV Shows, Romantic TV Shows A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.
s63;Movie;13 Cameras;United States;August 13, 2016;Horror Movies, Independent Movies, Thrillers Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.
s64;TV Show;13 Reasons Why;United States;June 5, 2020;Crime TV Shows, TV Dramas, TV Mysteries After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.
s65;TV Show;13 Reasons Why: Beyond the Reasons;United States;August 23, 2019;"Crime TV Shows, Docuseries Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
s66;Movie;13 Sins;United States;January 13, 2019;Horror Movies, Thrillers A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.
s67;Movie;13TH;United States;October 7, 2016;Documentaries In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.
s68;Movie;13TH: A Conversation with Oprah Winfrey & Ava DuVernay;;January 26, 2017;Movies Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.
s69;Movie;14 Blades;Hong Kong, China, Singapore;April 3, 2019;Action & Adventure, International Movies In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.
s70;Movie;14 Cameras;United States;October 27, 2018;Horror Movies, Thrillers Upping the â€œ13 Camerasâ€ ante, this sequel finds a family renting a vacation house thatâ€™s been customized to violate their privacy.
s71;Movie;14 Minutes from Earth;United States;February 1, 2019;Documentaries A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.
s72;Movie;16 Blocks;United States, Germany;November 1, 2019;Action & Adventure Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek â€“ but they'll be lucky to make it there alive.
s73;Movie;17 Again;United States;January 1, 2021;"Comedies Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" â€“ and that's exactly what he gets when he wakes up to find he's 17 again."
